,mean_cosine_score,cos_scr_1,cos_scr_2,cos_scr_3,cos_scr_4,cos_scr_5
count,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0
mean,0.35370130212986817,0.39353150175837937,0.3818589320878943,0.36203341218081125,0.3319932382422892,0.2990894240544457
std,0.12432670217303628,0.16114697739800773,0.1657060744287001,0.16755955508552292,0.17539315058400204,0.1750358643083406
min,-0.03255371376872063,-0.09256017953157425,-0.17793869972229004,-0.10767362266778946,-0.15685711801052094,-0.12661975622177124
25%,0.2633974850177765,0.27920976281166077,0.275099515914917,0.24607903510332108,0.2006569802761078,0.1640278473496437
50%,0.3596568703651428,0.4001869857311249,0.39153945446014404,0.3669258654117584,0.33424049615859985,0.2968277931213379
75%,0.4400634467601776,0.5066693127155304,0.49467065930366516,0.4883407652378082,0.4588586986064911,0.42432837188243866
max,0.6961652040481567,0.8781067132949829,0.8354377150535583,0.8337200880050659,0.8328028917312622,0.8267399072647095
